,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16,Class 17,Class 18,Class 19,Class 20,Class 21,Class 22,Class 23,Class 24,Class 25,Class 26,Class 27,Class 28,Class 29,Class 30,Class 31,Class 32,Class 33,Class 34,Class 35,Class 36,Class 37,Class 38,Class 39,Class 40,Class 41,Class 42,Class 43,Class 44,Class 45,Class 46,Class 47,Class 48,Class 49,Class 50,Class 51,Class 52,Class 53,Class 54,Class 55,Class 56,Class 57,Class 58,Class 59,Class 60,Class 61,Class 62,Class 63,Class 64,Class 65,Class 66,Class 67,Class 68,Class 69,Class 70,Class 71,Class 72,Class 73,Class 74,Class 75,Class 76,Class 77,Class 78,Class 79,Class 80,Class 81,accuracy,macro avg,weighted avg
precision,1.0,0.75,0.975609756097561,0.9666666666666667,0.9090909090909091,0.8888888888888888,0.9375,1.0,0.9411764705882353,0.8518518518518519,0.9743589743589743,0.9166666666666666,0.9696969696969697,0.9032258064516129,0.875,1.0,1.0,0.9393939393939394,0.9142857142857143,0.6551724137931034,1.0,0.8955223880597015,0.9672131147540983,0.9259259259259259,0.9411764705882353,0.8387096774193549,0.9629629629629629,1.0,0.68,0.8666666666666667,0.918918918918919,1.0,0.9090909090909091,1.0,0.5263157894736842,0.9285714285714286,0.9545454545454546,0.9166666666666666,0.92,1.0,0.8181818181818182,1.0,1.0,0.8,0.8888888888888888,0.9583333333333334,0.9375,0.8214285714285714,0.9444444444444444,0.7941176470588235,0.8823529411764706,0.8636363636363636,0.84375,0.7692307692307693,1.0,0.8947368421052632,0.8947368421052632,0.8625,0.75,1.0,0.8863636363636364,0.9285714285714286,0.9545454545454546,0.8823529411764706,0.9130434782608695,0.8947368421052632,0.8064516129032258,0.5,1.0,0.8333333333333334,1.0,1.0,1.0,0.8043478260869565,1.0,1.0,1.0,0.7894736842105263,0.9655172413793104,0.9130434782608695,0.88,1.0,0.9031488549618321,0.9048352539056397,0.9073052586923313
recall,0.875,0.6,0.975609756097561,0.90625,0.9523809523809523,0.96,0.9375,1.0,0.9411764705882353,0.92,0.926829268292683,0.7857142857142857,0.9411764705882353,0.875,0.9655172413793104,1.0,0.8333333333333334,1.0,1.0,0.95,1.0,0.9230769230769231,0.9365079365079365,0.9615384615384616,0.8421052631578947,0.8666666666666667,1.0,0.7777777777777778,0.8095238095238095,0.7647058823529411,0.8947368421052632,0.96875,0.8695652173913043,0.8,0.5882352941176471,0.8666666666666667,1.0,0.9166666666666666,0.9583333333333334,0.9787234042553191,0.84375,0.25,0.9333333333333333,0.8,1.0,0.8846153846153846,0.9375,0.8846153846153846,1.0,0.9310344827586207,0.8823529411764706,0.7916666666666666,0.9642857142857143,0.9090909090909091,1.0,0.8095238095238095,0.9444444444444444,0.8961038961038961,0.8333333333333334,0.8571428571428571,0.9512195121951219,0.8666666666666667,0.9545454545454546,0.8108108108108109,0.7777777777777778,0.8947368421052632,0.8333333333333334,0.5,1.0,1.0,0.9,1.0,1.0,0.8809523809523809,1.0,1.0,0.7857142857142857,0.5555555555555556,0.875,0.8076923076923077,1.0,0.8888888888888888,0.9031488549618321,0.8866433524005107,0.9031488549618321
f1-score,0.9333333333333333,0.6666666666666665,0.975609756097561,0.9354838709677419,0.9302325581395349,0.923076923076923,0.9375,1.0,0.9411764705882353,0.8846153846153846,0.9500000000000001,0.8461538461538461,0.955223880597015,0.8888888888888888,0.9180327868852458,1.0,0.9090909090909091,0.96875,0.955223880597015,0.7755102040816326,1.0,0.9090909090909091,0.9516129032258064,0.9433962264150944,0.8888888888888888,0.8524590163934426,0.9811320754716981,0.8750000000000001,0.7391304347826089,0.8125,0.9066666666666667,0.9841269841269841,0.888888888888889,0.888888888888889,0.5555555555555555,0.896551724137931,0.9767441860465117,0.9166666666666666,0.9387755102040817,0.989247311827957,0.8307692307692308,0.4,0.9655172413793104,0.8000000000000002,0.9411764705882353,0.9199999999999999,0.9375,0.8518518518518519,0.9714285714285714,0.8571428571428571,0.8823529411764706,0.8260869565217391,0.8999999999999999,0.8333333333333333,1.0,0.8500000000000001,0.918918918918919,0.8789808917197451,0.7894736842105262,0.923076923076923,0.9176470588235294,0.896551724137931,0.9545454545454546,0.8450704225352113,0.84,0.8947368421052632,0.819672131147541,0.5,1.0,0.9090909090909091,0.9473684210526316,1.0,1.0,0.8409090909090908,1.0,1.0,0.88,0.6521739130434783,0.9180327868852458,0.8571428571428572,0.9361702127659575,0.9411764705882353,0.9031488549618321,0.8904608580969459,0.9027789634544952
support,8.0,10.0,41.0,32.0,21.0,25.0,32.0,47.0,34.0,25.0,82.0,14.0,34.0,32.0,29.0,4.0,6.0,31.0,32.0,20.0,8.0,65.0,63.0,26.0,19.0,30.0,26.0,18.0,21.0,17.0,38.0,32.0,23.0,15.0,17.0,15.0,21.0,24.0,24.0,47.0,32.0,4.0,15.0,5.0,8.0,26.0,16.0,26.0,17.0,29.0,17.0,24.0,28.0,11.0,7.0,21.0,36.0,77.0,36.0,7.0,41.0,15.0,22.0,37.0,27.0,38.0,30.0,10.0,30.0,10.0,10.0,25.0,15.0,42.0,15.0,35.0,28.0,27.0,32.0,26.0,22.0,9.0,0.9031488549618321,2096.0,2096.0
