,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16,Class 17,Class 18,Class 19,Class 20,Class 21,Class 22,Class 23,Class 24,Class 25,Class 26,Class 27,Class 28,Class 29,Class 30,Class 31,Class 32,Class 33,Class 34,Class 35,Class 36,Class 37,Class 38,Class 39,Class 40,Class 41,Class 42,Class 43,Class 44,Class 45,Class 46,Class 47,Class 48,Class 49,Class 50,Class 51,Class 52,Class 53,Class 54,Class 55,Class 56,Class 57,Class 58,Class 59,Class 60,Class 61,Class 62,Class 63,Class 64,Class 65,Class 66,Class 67,Class 68,Class 69,Class 70,Class 71,Class 72,Class 73,Class 74,Class 75,Class 76,Class 77,Class 78,Class 79,Class 80,Class 81,accuracy,macro avg,weighted avg
precision,0.8,0.4666666666666667,0.975609756097561,0.8787878787878788,0.9523809523809523,0.8571428571428571,0.9375,1.0,0.8285714285714286,1.0,0.9733333333333334,0.8,0.967741935483871,0.9629629629629629,0.8666666666666667,1.0,0.8571428571428571,0.96875,0.9393939393939394,0.7916666666666666,1.0,0.9824561403508771,0.9375,0.8620689655172413,0.8888888888888888,0.896551724137931,0.896551724137931,0.8947368421052632,0.8095238095238095,0.9333333333333333,0.9722222222222222,1.0,0.9473684210526315,0.9285714285714286,0.631578947368421,1.0,0.8695652173913043,0.9545454545454546,0.92,1.0,0.7631578947368421,0.6666666666666666,0.9285714285714286,0.8,0.8888888888888888,0.96,0.875,0.88,0.8,0.8484848484848485,0.7727272727272727,0.8,0.8064516129032258,0.8181818181818182,1.0,0.85,0.8717948717948718,0.9142857142857143,0.8611111111111112,0.6,0.8780487804878049,0.8666666666666667,0.9565217391304348,0.90625,1.0,0.868421052631579,0.8333333333333334,0.42857142857142855,1.0,0.6666666666666666,1.0,1.0,0.8235294117647058,0.9210526315789473,1.0,1.0,0.9565217391304348,0.7391304347826086,0.9655172413793104,0.96,0.9166666666666666,0.6363636363636364,0.8974236641221374,0.8802239582676987,0.9054162935763316
recall,1.0,0.7,0.975609756097561,0.90625,0.9523809523809523,0.96,0.9375,1.0,0.8529411764705882,0.84,0.8902439024390244,0.8571428571428571,0.8823529411764706,0.8125,0.896551724137931,1.0,1.0,1.0,0.96875,0.95,1.0,0.8615384615384616,0.9523809523809523,0.9615384615384616,0.8421052631578947,0.8666666666666667,1.0,0.9444444444444444,0.8095238095238095,0.8235294117647058,0.9210526315789473,0.96875,0.782608695652174,0.8666666666666667,0.7058823529411765,1.0,0.9523809523809523,0.875,0.9583333333333334,0.9787234042553191,0.90625,0.5,0.8666666666666667,0.8,1.0,0.9230769230769231,0.875,0.8461538461538461,0.9411764705882353,0.9655172413793104,1.0,0.8333333333333334,0.8928571428571429,0.8181818181818182,1.0,0.8095238095238095,0.9444444444444444,0.8311688311688312,0.8611111111111112,0.8571428571428571,0.8780487804878049,0.8666666666666667,1.0,0.7837837837837838,0.7777777777777778,0.868421052631579,0.8333333333333334,0.9,1.0,0.8,0.9,1.0,0.9333333333333333,0.8333333333333334,1.0,1.0,0.7857142857142857,0.6296296296296297,0.875,0.9230769230769231,1.0,0.7777777777777778,0.8974236641221374,0.8937908535468768,0.8974236641221374
f1-score,0.888888888888889,0.56,0.975609756097561,0.8923076923076922,0.9523809523809523,0.9056603773584904,0.9375,1.0,0.8405797101449276,0.9130434782608696,0.9299363057324841,0.8275862068965518,0.923076923076923,0.8813559322033898,0.8813559322033899,1.0,0.923076923076923,0.9841269841269841,0.9538461538461539,0.8636363636363635,1.0,0.9180327868852458,0.9448818897637795,0.9090909090909091,0.8648648648648649,0.8813559322033899,0.9454545454545454,0.918918918918919,0.8095238095238095,0.8749999999999999,0.9459459459459458,0.9841269841269841,0.8571428571428571,0.896551724137931,0.6666666666666667,1.0,0.909090909090909,0.9130434782608695,0.9387755102040817,0.989247311827957,0.8285714285714286,0.5714285714285715,0.896551724137931,0.8000000000000002,0.9411764705882353,0.9411764705882353,0.875,0.8627450980392156,0.8648648648648648,0.9032258064516129,0.8717948717948718,0.816326530612245,0.8474576271186439,0.8181818181818182,1.0,0.8292682926829269,0.9066666666666667,0.8707482993197279,0.8611111111111112,0.7058823529411764,0.8780487804878049,0.8666666666666667,0.9777777777777777,0.8405797101449275,0.8750000000000001,0.868421052631579,0.8333333333333334,0.5806451612903225,1.0,0.7272727272727272,0.9473684210526316,1.0,0.8749999999999999,0.875,1.0,1.0,0.8627450980392156,0.68,0.9180327868852458,0.9411764705882353,0.9565217391304348,0.7000000000000001,0.8974236641221374,0.8831396506676635,0.8988293355057199
support,8.0,10.0,41.0,32.0,21.0,25.0,32.0,47.0,34.0,25.0,82.0,14.0,34.0,32.0,29.0,4.0,6.0,31.0,32.0,20.0,8.0,65.0,63.0,26.0,19.0,30.0,26.0,18.0,21.0,17.0,38.0,32.0,23.0,15.0,17.0,15.0,21.0,24.0,24.0,47.0,32.0,4.0,15.0,5.0,8.0,26.0,16.0,26.0,17.0,29.0,17.0,24.0,28.0,11.0,7.0,21.0,36.0,77.0,36.0,7.0,41.0,15.0,22.0,37.0,27.0,38.0,30.0,10.0,30.0,10.0,10.0,25.0,15.0,42.0,15.0,35.0,28.0,27.0,32.0,26.0,22.0,9.0,0.8974236641221374,2096.0,2096.0
