,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16,Class 17,Class 18,Class 19,Class 20,Class 21,Class 22,Class 23,Class 24,Class 25,Class 26,Class 27,Class 28,Class 29,Class 30,Class 31,Class 32,Class 33,Class 34,Class 35,Class 36,Class 37,Class 38,Class 39,Class 40,Class 41,Class 42,Class 43,Class 44,Class 45,Class 46,Class 47,Class 48,Class 49,Class 50,Class 51,Class 52,Class 53,Class 54,Class 55,Class 56,Class 57,Class 58,Class 59,Class 60,Class 61,Class 62,Class 63,Class 64,Class 65,Class 66,Class 67,Class 68,Class 69,Class 70,Class 71,Class 72,Class 73,Class 74,Class 75,Class 76,Class 77,Class 78,Class 79,Class 80,Class 81,accuracy,macro avg,weighted avg
precision,0.8571428571428571,0.5833333333333334,0.9302325581395349,0.90625,0.9090909090909091,0.8928571428571429,0.8787878787878788,1.0,1.0,0.9166666666666666,0.9620253164556962,0.8461538461538461,0.96875,0.9642857142857143,0.84375,1.0,0.75,0.9117647058823529,0.8421052631578947,0.7391304347826086,1.0,0.8805970149253731,0.9538461538461539,0.9565217391304348,0.8888888888888888,0.9259259259259259,0.9285714285714286,0.9375,0.7391304347826086,0.8666666666666667,1.0,0.96875,0.8636363636363636,0.9285714285714286,0.5789473684210527,0.8666666666666667,1.0,0.9130434782608695,0.92,0.9583333333333334,0.8181818181818182,0.0,1.0,1.0,1.0,0.9583333333333334,0.9375,0.8148148148148148,0.8421052631578947,0.8125,0.7142857142857143,0.8260869565217391,0.8666666666666667,0.6666666666666666,1.0,0.875,0.875,0.8857142857142857,0.7317073170731707,0.7777777777777778,0.8478260869565217,0.9166666666666666,0.9565217391304348,0.8048780487804879,1.0,0.8918918918918919,0.7878787878787878,0.45454545454545453,1.0,0.8181818181818182,1.0,1.0,0.8666666666666667,0.8043478260869565,1.0,1.0,1.0,0.5769230769230769,0.9310344827586207,0.88,0.9090909090909091,1.0,0.8888358778625954,0.8734965559526319,0.8920775964230556
recall,0.75,0.7,0.975609756097561,0.90625,0.9523809523809523,1.0,0.90625,1.0,0.8823529411764706,0.88,0.926829268292683,0.7857142857142857,0.9117647058823529,0.84375,0.9310344827586207,0.75,0.5,1.0,1.0,0.85,1.0,0.9076923076923077,0.9841269841269841,0.8461538461538461,0.8421052631578947,0.8333333333333334,1.0,0.8333333333333334,0.8095238095238095,0.7647058823529411,0.9210526315789473,0.96875,0.8260869565217391,0.8666666666666667,0.6470588235294118,0.8666666666666667,0.9523809523809523,0.875,0.9583333333333334,0.9787234042553191,0.84375,0.0,0.9333333333333333,0.6,1.0,0.8846153846153846,0.9375,0.8461538461538461,0.9411764705882353,0.896551724137931,0.8823529411764706,0.7916666666666666,0.9285714285714286,0.9090909090909091,1.0,0.6666666666666666,0.9722222222222222,0.8051948051948052,0.8333333333333334,1.0,0.9512195121951219,0.7333333333333333,1.0,0.8918918918918919,0.7407407407407407,0.868421052631579,0.8666666666666667,0.5,1.0,0.9,0.9,1.0,0.8666666666666667,0.8809523809523809,1.0,1.0,0.7857142857142857,0.5555555555555556,0.84375,0.8461538461538461,0.9090909090909091,0.8888888888888888,0.8888358778625954,0.8626201957212623,0.8888358778625954
f1-score,0.7999999999999999,0.6363636363636365,0.9523809523809524,0.90625,0.9302325581395349,0.9433962264150945,0.8923076923076922,1.0,0.9375,0.8979591836734694,0.9440993788819876,0.8148148148148148,0.9393939393939394,0.8999999999999999,0.8852459016393444,0.8571428571428571,0.6,0.9538461538461539,0.9142857142857143,0.7906976744186046,1.0,0.8939393939393939,0.96875,0.8979591836734695,0.8648648648648649,0.8771929824561403,0.962962962962963,0.8823529411764706,0.7727272727272727,0.8125,0.958904109589041,0.96875,0.8444444444444444,0.896551724137931,0.6111111111111113,0.8666666666666667,0.975609756097561,0.8936170212765957,0.9387755102040817,0.968421052631579,0.8307692307692308,0.0,0.9655172413793104,0.7499999999999999,1.0,0.9199999999999999,0.9375,0.830188679245283,0.8888888888888888,0.8524590163934426,0.7894736842105262,0.8085106382978724,0.896551724137931,0.7692307692307692,1.0,0.7567567567567567,0.9210526315789473,0.8435374149659864,0.7792207792207793,0.8750000000000001,0.8965517241379309,0.8148148148148148,0.9777777777777777,0.8461538461538461,0.851063829787234,0.88,0.8253968253968254,0.47619047619047616,1.0,0.8571428571428572,0.9473684210526316,1.0,0.8666666666666667,0.8409090909090908,1.0,1.0,0.88,0.5660377358490566,0.8852459016393444,0.8627450980392156,0.9090909090909091,0.9411764705882353,0.8888358778625954,0.8645244827070245,0.8881515638450427
support,8.0,10.0,41.0,32.0,21.0,25.0,32.0,47.0,34.0,25.0,82.0,14.0,34.0,32.0,29.0,4.0,6.0,31.0,32.0,20.0,8.0,65.0,63.0,26.0,19.0,30.0,26.0,18.0,21.0,17.0,38.0,32.0,23.0,15.0,17.0,15.0,21.0,24.0,24.0,47.0,32.0,4.0,15.0,5.0,8.0,26.0,16.0,26.0,17.0,29.0,17.0,24.0,28.0,11.0,7.0,21.0,36.0,77.0,36.0,7.0,41.0,15.0,22.0,37.0,27.0,38.0,30.0,10.0,30.0,10.0,10.0,25.0,15.0,42.0,15.0,35.0,28.0,27.0,32.0,26.0,22.0,9.0,0.8888358778625954,2096.0,2096.0
